"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Taiwan,"10,043,227","+10,120","17,948",40.0,"9,715,178","+24,188","310,101",,"420,419",751,"30,742,304","1,286,903","23,888,595",South America,2023-02-28
Netherlands,"8,596,296","+1,039","22,992",,"8,558,816",+210,"14,488",53,"499,452","1,336","25,984,435","1,509,718","17,211,447",Europe,2023-02-28
Iran,"7,567,906",+82,"144,845",,"7,339,365",+82,"83,696",288,"87,976","1,684","55,034,937","639,771","86,022,837",Asia,2023-02-28
Mexico,"7,451,429",+437,"332,988",2.0,"6,690,914","+3,210","427,527",,"56,638","2,531","19,572,325","148,768","131,562,772",North America,2023-02-28
Indonesia,"6,736,046",+266,"160,914",3.0,"6,571,692",+235,"3,440",,"24,132",576,"114,158,919","408,975","279,134,505",Asia,2023-02-28
Poland,"6,419,480","+3,772","118,884",16.0,"5,335,940",,"964,656",696,"170,098","3,150","38,270,606","1,014,065","37,739,785",Europe,2023-02-28
Colombia,"6,359,464",,"142,615",,"6,182,304",,"34,545",342,"123,454","2,769","36,951,507","717,327","51,512,762",South America,2023-02-28
Austria,"5,911,294","+5,700","21,887",,"5,835,484","+4,332","53,923",72,"651,978","2,414","211,273,524","23,302,116","9,066,710",Europe,2023-02-28
Greece,"5,849,949",,"36,077",,"5,803,381","+1,598","10,491",115,"567,040","3,497","102,228,365","9,909,078","10,316,637",Europe,2023-02-28
Portugal,"5,566,708",,"26,117",,"5,537,790",+642,"2,801",61,"548,954","2,575","45,980,330","4,534,294","10,140,570",Europe,2023-02-28
Ukraine,"5,382,095",,"111,175",,"5,261,929",,"8,991",,"124,608","2,574","32,603,805","754,855","43,192,122",Europe,2023-02-28
Chile,"5,166,328","+1,406","64,176",,"5,097,447","+2,039","4,705",85,"268,378","3,334","48,438,160","2,516,243","19,250,195",South America,2023-02-28
Malaysia,"5,042,791",+206,"36,958",1.0,"4,996,585",+176,"9,248",7,"151,978","1,114","68,088,226","2,052,020","33,181,072",Asia,2023-02-28
Israel,"4,799,283",+629,"12,290",6.0,"4,781,252",,"5,741",57,"514,613","1,318","41,373,364","4,436,346","9,326,000",Asia,2023-02-28
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,2023-02-28
Thailand,"4,728,035",,"33,911",,"4,692,636",,"1,488",,"67,468",484,"17,270,775","246,450","70,078,203",Asia,2023-02-28
Belgium,"4,717,655",,"33,717",,"4,658,897",+557,"25,041",43,"404,315","2,890","36,709,556","3,146,099","11,668,278",Europe,2023-02-28
Czechia,"4,609,820","+1,678","42,436",2.0,"4,558,089",+884,"9,295",38,"429,348","3,952","56,998,352","5,308,699","10,736,784",Europe,2023-02-28
Canada,"4,591,149",,"51,249",,"4,499,195","+1,575","40,705",99,"119,597","1,335","66,343,123","1,728,207","38,388,419",North America,2023-02-28
Peru,"4,485,753",+69,"219,431",2.0,"4,264,334",,"1,988",35,"133,171","6,514","38,027,986","1,128,956","33,684,208",South America,2023-02-28
Switzerland,"4,389,655",,"14,452",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637",Europe,2023-02-28
